step,time,l2_error,loss,arm,system,seed,lr,damping,momentum,norm_constraint,num_seconds,equation
55,473.24986696243286,0.7268503016641225,2.6685103916791304,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
61,523.9157478809357,0.5599548795239224,1.4230413043754975,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
67,574.5798079967499,0.4319006718172498,0.9367326664050892,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
73,625.24835729599,0.33539247783250703,0.6039290293391077,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
81,692.8027310371399,0.2406915808089651,0.3926648822629788,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
89,760.352865934372,0.1809170550094433,0.37657240376195267,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
98,836.3384199142456,0.1439532676493945,0.29436040899101357,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
107,912.3249042034149,0.12474088945430968,0.23571826005472538,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
118,1005.1925232410431,0.11546974764464024,0.1702813564825431,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
130,1106.5054767131805,0.11055820446991131,0.08656615511861268,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
143,1216.2542641162872,0.10637999706933159,0.10470034672592868,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
157,1334.4511289596558,0.09802472851815523,0.07298525880927496,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
172,1461.0846655368805,0.094404462989205,0.0702644616020713,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
190,1613.040554523468,0.08702214282856428,0.041546751229551766,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
208,1764.9966011047363,0.08234727035942532,0.02874733148993729,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
229,1942.2734899520874,0.07153526936548409,0.02788184722049287,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
